Hi	UH	hi
my	PP$	my
own	JJ	own
bed	NN	bed
.	SENT	.
Not	RB	not
only	RB	only
that	IN	that
,	,	,
I	PP	I
am	VBP	be
very	RB	very
unattractive	JJ	unattractive
and	CC	and
unhealthy	JJ	unhealthy
.	SENT	.
Even	RB	even
if	IN	if
I	PP	I
did	VBD	do
have	VB	have
the	DT	the
money	NN	money
for	IN	for
racing	NN	racing
,	,	,
I	PP	I
'd	MD	will
be	VB	be
at	IN	at
such	PDT	such
a	DT	a
big	JJ	big
disadvantage	NN	disadvantage
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
've	VB	have
done	VBN	do
just	RB	just
something	NN	something
.	SENT	.
God	NP	God
DAMNIT	NP	<unknown>
.	SENT	.
